127.0.0.1 - - [30/Apr/2020:11:21:35 -0400] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [30/Apr/2020:11:21:37 -0400] "GET /spring-mvc-demo/ HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [30/Apr/2020:11:21:40 -0400] "GET /spring-mvc-demo/hello/showForm HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [30/Apr/2020:11:21:44 -0400] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [30/Apr/2020:11:23:06 -0400] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [30/Apr/2020:11:23:18 -0400] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [30/Apr/2020:11:39:01 -0400] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [30/Apr/2020:11:41:21 -0400] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [30/Apr/2020:11:58:21 -0400] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [30/Apr/2020:14:41:45 -0400] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [30/Apr/2020:14:41:49 -0400] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [30/Apr/2020:14:42:02 -0400] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [30/Apr/2020:14:42:15 -0400] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [30/Apr/2020:14:43:51 -0400] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [30/Apr/2020:14:55:08 -0400] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [30/Apr/2020:14:55:34 -0400] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 208
