127.0.0.1 - - [13/May/2020:15:07:40 -0400] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [13/May/2020:15:07:42 -0400] "GET /web-customer-tracker/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2020:15:07:44 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 3096
0:0:0:0:0:0:0:1 - - [13/May/2020:15:07:44 -0400] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:15:07:46 -0400] "GET /web-customer-tracker/customer/showFormForAdd HTTP/1.1" 200 1372
0:0:0:0:0:0:0:1 - - [13/May/2020:15:07:46 -0400] "GET /web-customer-tracker/resources/css/add-customer-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:15:08:02 -0400] "POST /web-customer-tracker/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2020:15:08:02 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [13/May/2020:15:08:11 -0400] "GET /web-customer-tracker/customer/showFormForUpdate?customerId=5 HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [13/May/2020:15:08:19 -0400] "POST /web-customer-tracker/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2020:15:08:19 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 3467
0:0:0:0:0:0:0:1 - - [13/May/2020:17:36:03 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 3467
0:0:0:0:0:0:0:1 - - [13/May/2020:17:36:03 -0400] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [13/May/2020:17:36:12 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 3558
0:0:0:0:0:0:0:1 - - [13/May/2020:17:36:12 -0400] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:17:40:17 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 4132
0:0:0:0:0:0:0:1 - - [13/May/2020:17:40:17 -0400] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:17:40:23 -0400] "GET /web-customer-tracker/customer/delete HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [13/May/2020:17:41:40 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 4223
0:0:0:0:0:0:0:1 - - [13/May/2020:17:41:40 -0400] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:17:45:49 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 4839
0:0:0:0:0:0:0:1 - - [13/May/2020:17:45:49 -0400] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:18:04:33 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 4839
0:0:0:0:0:0:0:1 - - [13/May/2020:18:04:33 -0400] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:18:04:55 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 4839
0:0:0:0:0:0:0:1 - - [13/May/2020:18:04:55 -0400] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:18:05:01 -0400] "GET /web-customer-tracker/customer/delete?customerId=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2020:18:05:01 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 4271
0:0:0:0:0:0:0:1 - - [13/May/2020:18:05:06 -0400] "GET /web-customer-tracker/customer/delete?customerId=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2020:18:05:06 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 3706
0:0:0:0:0:0:0:1 - - [13/May/2020:18:13:14 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 4001
0:0:0:0:0:0:0:1 - - [13/May/2020:18:13:14 -0400] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:19:48:58 -0400] "GET /web-customer-tracker/customer/list HTTP/1.1" 200 4001
0:0:0:0:0:0:0:1 - - [13/May/2020:19:48:58 -0400] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:19:49:21 -0400] "GET /web-customer-tracker/customer/search?theSearchName=prateek HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [13/May/2020:19:56:05 -0400] "GET /web-customer-tracker/customer/search?theSearchName=ma HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [13/May/2020:20:00:46 -0400] "GET /web-customer-tracker/customer/search?theSearchName=ma HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [13/May/2020:20:00:46 -0400] "GET /web-customer-tracker/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:20:00:50 -0400] "GET /web-customer-tracker/customer/search?theSearchName= HTTP/1.1" 200 4001
